date,summary,run,bike,sports,yoga,abs,lift
5/22/17,pullups,0,0,0,0,1,1
5/24/17,0,0,0,0,0,0,0
5/25/17,Occam's,0,0,0,0,12,1
5/27/17,0,0,1.8,0,0,0,0
5/28/17,0,0,0,0,0,10,0
5/29/17,Occam's,0,0,0,0,10,1
5/30/17,0,0,0,0,0,0,0
5/31/17,0,0,1.667,0,0,0,0
6/1/17,bike,0,11.05,0.5,0,2,0
6/2/17,Occam's,0,1.667,0,0,10,1
6/3/17,0,0,1.5,0,0,0,0
6/5/17,0,0,0,0,0,10,0
6/6/17,Occam's,0,2.667,0,0,5,1
6/7/17,bike,0,4.9,0,0.20,0,0
6/8/17,0,0,1.7,0,0,0,0
6/9/17,0,0,1.5,0,0,10,0
6/10/17,Occam's,0,2.5,0,0,6,1
6/12/17,0,0,0,0,0,12,0
6/14/17,Occam's,0,0,0,0,3,1
6/16/17,0,0,0,0,0,0,0
6/17/17,run,2,0,0,0,5,0.15
6/19/17,Occam's,0,2.333333333,0,0,5,1
6/20/17,0,0,0,0,0,2,0
6/22/17,0,0,0,0,0,3,0
6/27/17,0,0,0,0,0.28,0,0
6/28/17,back+bi,0,2,0,0,5,1
6/29/17,run,2,0,0,0,0,0.2
